id,name,code,description,is_active,created_by,start_date,end_date,budget
20000000-0000-4000-a000-000000000001,売上分析プロジェクト,PROJ-001,2024年度の売上分析プロジェクト,true,00000000-0000-4000-a000-000000000001,2024-04-01,2025-03-31,50000000.00
20000000-0000-4000-a000-000000000002,コスト削減プロジェクト,PROJ-002,コスト構造の見直しプロジェクト,true,00000000-0000-4000-a000-000000000001,2024-06-01,2024-12-31,30000000.00
20000000-0000-4000-a000-000000000003,顧客満足度向上,PROJ-003,CS向上施策の検討,true,00000000-0000-4000-a000-000000000002,2024-07-01,2025-06-30,20000000.00
20000000-0000-4000-a000-000000000004,新商品開発,PROJ-004,新商品の市場分析,true,00000000-0000-4000-a000-000000000003,2024-09-01,2025-08-31,100000000.00
20000000-0000-4000-a000-000000000005,業務効率化,PROJ-005,社内業務の効率化検討,true,00000000-0000-4000-a000-000000000004,2024-10-01,2025-03-31,15000000.00
20000000-0000-4000-a000-000000000006,マーケティング戦略,PROJ-006,2025年度マーケ戦略立案,true,00000000-0000-4000-a000-000000000005,2024-11-01,2025-01-31,25000000.00
20000000-0000-4000-a000-000000000007,人材育成計画,PROJ-007,人材育成施策の検討,true,00000000-0000-4000-a000-000000000006,2024-04-01,2025-03-31,10000000.00
20000000-0000-4000-a000-000000000008,DX推進,PROJ-008,デジタルトランスフォーメーション,true,00000000-0000-4000-a000-000000000007,2024-01-01,2026-12-31,500000000.00
20000000-0000-4000-a000-000000000009,サステナビリティ,PROJ-009,ESG対応の検討,true,00000000-0000-4000-a000-000000000008,2024-04-01,2030-03-31,
20000000-0000-4000-a000-000000000010,海外展開検討,PROJ-010,海外市場進出の分析,true,00000000-0000-4000-a000-000000000009,2025-01-01,,200000000.00
