id,driver_tree_id,label,position_x,position_y,node_type,data_frame_id
30000000-0000-0000-0000-000000000001,33000000-0000-0000-0000-000000000001,売上高,400,50,calculation,
30000000-0000-0000-0000-000000000002,33000000-0000-0000-0000-000000000001,客数,200,150,input,
30000000-0000-0000-0000-000000000003,33000000-0000-0000-0000-000000000001,客単価,600,150,input,
30000000-0000-0000-0000-000000000004,33000000-0000-0000-0000-000000000002,営業利益,400,50,calculation,
30000000-0000-0000-0000-000000000005,33000000-0000-0000-0000-000000000002,売上総利益,200,150,calculation,
30000000-0000-0000-0000-000000000006,33000000-0000-0000-0000-000000000002,販管費,600,150,input,
30000000-0000-0000-0000-000000000007,33000000-0000-0000-0000-000000000002,売上高,200,250,input,
30000000-0000-0000-0000-000000000008,33000000-0000-0000-0000-000000000002,売上原価,400,250,input,
30000000-0000-0000-0000-000000000009,33000000-0000-0000-0000-000000000004,生産高,400,50,calculation,
30000000-0000-0000-0000-000000000010,33000000-0000-0000-0000-000000000004,稼働時間,200,150,input,
30000000-0000-0000-0000-000000000011,33000000-0000-0000-0000-000000000004,時間当たり生産量,600,150,input,
30000000-0000-0000-0000-000000000012,33000000-0000-0000-0000-000000000006,MRR,400,50,calculation,
30000000-0000-0000-0000-000000000013,33000000-0000-0000-0000-000000000006,新規MRR,150,150,input,
30000000-0000-0000-0000-000000000014,33000000-0000-0000-0000-000000000006,拡張MRR,400,150,input,
30000000-0000-0000-0000-000000000015,33000000-0000-0000-0000-000000000006,解約MRR,650,150,constant,
30000000-0000-0000-0000-000000000016,33000000-0000-0000-0000-000000000003,顧客数,400,50,calculation,
30000000-0000-0000-0000-000000000017,33000000-0000-0000-0000-000000000003,新規顧客,200,150,input,
30000000-0000-0000-0000-000000000018,33000000-0000-0000-0000-000000000003,既存顧客,600,150,input,
30000000-0000-0000-0000-000000000019,33000000-0000-0000-0000-000000000010,ARPU,400,50,calculation,
30000000-0000-0000-0000-000000000020,33000000-0000-0000-0000-000000000010,月額料金,200,150,constant,
30000000-0000-0000-0000-000000000021,33000000-0000-0000-0000-000000000005,製造原価,400,50,calculation,
30000000-0000-0000-0000-000000000022,33000000-0000-0000-0000-000000000005,材料費,150,150,input,
30000000-0000-0000-0000-000000000023,33000000-0000-0000-0000-000000000005,労務費,400,150,input,
30000000-0000-0000-0000-000000000024,33000000-0000-0000-0000-000000000005,経費,650,150,input,
30000000-0000-0000-0000-000000000025,33000000-0000-0000-0000-000000000007,DAU,400,50,calculation,
30000000-0000-0000-0000-000000000026,33000000-0000-0000-0000-000000000007,新規ユーザー,150,150,input,
30000000-0000-0000-0000-000000000027,33000000-0000-0000-0000-000000000007,復帰ユーザー,400,150,input,
30000000-0000-0000-0000-000000000028,33000000-0000-0000-0000-000000000007,継続ユーザー,650,150,input,
30000000-0000-0000-0000-000000000029,33000000-0000-0000-0000-000000000008,経常収益,400,50,calculation,
30000000-0000-0000-0000-000000000030,33000000-0000-0000-0000-000000000008,資金運用収益,200,150,input,
30000000-0000-0000-0000-000000000031,33000000-0000-0000-0000-000000000008,役務取引等収益,600,150,input,
30000000-0000-0000-0000-000000000032,33000000-0000-0000-0000-000000000009,営業収益,400,50,calculation,
30000000-0000-0000-0000-000000000033,33000000-0000-0000-0000-000000000009,賃貸収入,150,150,input,
30000000-0000-0000-0000-000000000034,33000000-0000-0000-0000-000000000009,売買収入,400,150,input,
30000000-0000-0000-0000-000000000035,33000000-0000-0000-0000-000000000009,管理収入,650,150,input,
